"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 08:47:13 BDT 2023","Sun Jan 29 08:47:29 BDT 2023","16620","Suite","Test","testclass.OrderInfoTesting","testclass.OrderInfoTesting","orderInfoTesting","Order Info Testing","Order Info Testing --Allure"
"passed","Sun Jan 29 08:46:31 BDT 2023","Sun Jan 29 08:46:40 BDT 2023","9187","Suite","Test","testclass.ScrollDownNextTesting","testclass.ScrollDownNextTesting","scrollDownAndNext","Scroll Testing","Scroll Testing --Allure"
"passed","Sun Jan 29 08:47:36 BDT 2023","Sun Jan 29 08:47:39 BDT 2023","3260","Suite","Test","testclass.ViewCartTesting","testclass.ViewCartTesting","viewCartTesting","Cart View Testing","Cart View Testing --Allure"
"passed","Sun Jan 29 08:46:46 BDT 2023","Sun Jan 29 08:46:50 BDT 2023","3824","Suite","Test","testclass.HoverNavbarTesting","testclass.HoverNavbarTesting","hoverTesting","Hover Testing","Hover Testing --Allure"
"passed","Sun Jan 29 08:47:46 BDT 2023","Sun Jan 29 08:47:54 BDT 2023","7639","Suite","Test","testclass.BookViewTesting","testclass.BookViewTesting","bookViewTesting","Book View Testing","Book View Testing --Allure"
"passed","Sun Jan 29 08:46:00 BDT 2023","Sun Jan 29 08:46:10 BDT 2023","9890","Suite","Test","testclass.LoginTesting","testclass.LoginTesting","loginTesting","LOgin Testing","Login Testing --Allure"
"passed","Sun Jan 29 08:46:57 BDT 2023","Sun Jan 29 08:47:06 BDT 2023","8388","Suite","Test","testclass.DropDownHighLowTesting","testclass.DropDownHighLowTesting","dropDownTesting","Drop Wdown Testing","Drop Down Testing --Allure"
"passed","Sun Jan 29 08:46:17 BDT 2023","Sun Jan 29 08:46:24 BDT 2023","6856","Suite","Test","testclass.SignUpTesting","testclass.SignUpTesting","signupTesting","Signup Testing","Signup Testing --Allure"
"passed","Sun Jan 29 08:48:01 BDT 2023","Sun Jan 29 08:48:09 BDT 2023","8046","Suite","Test","testclass.WritterClickTesting","testclass.WritterClickTesting","writterClick","Writter Click Testing","Writter Click Testing --Allure"
